id,sigma,misorientation_angle_deg,axis_h,axis_k,axis_l,plane_h,plane_k,plane_l,gb_type
1275,447,41.069346,10,3,1,-5,1,47,unclassified
1276,447,41.069346,10,3,1,-22,-85,28,unclassified
1277,447,41.069346,10,3,1,17,86,19,unclassified
1278,549,32.4070172,13,1,1,449,47,155,unclassified
1279,549,32.4070172,13,1,1,205,-14,94,unclassified
1280,549,32.4070172,13,1,1,113,161,17,unclassified
1281,559,52.4092035,11,9,4,180,-59,57,unclassified
1282,559,52.4092035,11,9,4,-193,85,619,unclassified
1283,559,52.4092035,11,9,4,105,-81,173,unclassified
1284,647,60.2553118,9,9,1,-363,-157,151,unclassified
1285,647,60.2553118,9,9,1,-127,-169,76,unclassified
1286,719,42.3940186,7,6,3,509,-873,79,unclassified
1287,719,42.3940186,7,6,3,275,-757,393,unclassified
1288,719,42.3940186,7,6,3,71,-619,593,unclassified
1289,999,58.4983901,16,11,10,-32,299,22,unclassified
1290,999,58.4983901,16,11,10,5,484,59,unclassified
1291,999,58.4983901,16,11,10,-59,83,103,unclassified
